# all.topics.primary.relevance.judgements.final.tsv.txt
# This file contains all of the maximum-length span primary relevance judgments for the
# TREC 2007 Genomics track.
# Each line represents the relevance of judgment on one topic for one maximum-length span.
# Fields are tab-delimited in the following order:
# TOPIC	PMID	OFFSET	LENGTH	RELEVANCE
#
200	10527986	59528	477	NOT_RELEVANT
200	10527986	60436	420	RELEVANT
200	10528661	46722	11050	NOT_RELEVANT
200	10528673	14787	5348	NOT_RELEVANT
200	10528676	12360	3844	NOT_RELEVANT
200	10528684	20775	8876	NOT_RELEVANT
200	10534541	16780	3153	RELEVANT
200	10534541	59429	6128	RELEVANT
200	10534541	88013	813	NOT_RELEVANT
200	10534541	123949	54891	RELEVANT
200	10534542	1602	1468	NOT_RELEVANT
200	10534554	934	2276	NOT_RELEVANT
200	10534554	5951	2826	NOT_RELEVANT
200	10534557	7728	1956	NOT_RELEVANT
200	10556253	8656	888	NOT_RELEVANT
200	10556254	761	2725	NOT_RELEVANT
200	10556254	3489	2344	NOT_RELEVANT
200	10556254	5836	2458	NOT_RELEVANT
200	10556254	8297	1092	NOT_RELEVANT
200	10556254	9392	2199	NOT_RELEVANT
200	10556254	14456	3493	NOT_RELEVANT
200	10556254	17952	764	NOT_RELEVANT
200	10556254	18719	2097	NOT_RELEVANT
200	10556254	22971	510	NOT_RELEVANT
200	10556254	23484	811	NOT_RELEVANT
200	10556254	36239	1555	NOT_RELEVANT
200	10556254	42300	15355	NOT_RELEVANT
200	10556268	3107	650	NOT_RELEVANT
200	10556268	5898	930	NOT_RELEVANT
200	10556268	33644	1726	NOT_RELEVANT
200	10556278	1427	4267	RELEVANT
200	10556313	2994	884	NOT_RELEVANT
200	10570103	7692	1459	NOT_RELEVANT
200	10570103	9154	1027	NOT_RELEVANT
200	10580016	2444	247	NOT_RELEVANT
200	10587359	4565	938	NOT_RELEVANT
200	10587542	45690	22707	RELEVANT
200	10587544	10430	1684	NOT_RELEVANT
200	10587561	7345	1049	RELEVANT
200	10590041	54047	2492	NOT_RELEVANT
200	10590067	102492	622	NOT_RELEVANT
200	10590257	30924	687	NOT_RELEVANT
200	10607720	56420	2746	NOT_RELEVANT
200	10617591	2221	3077	NOT_RELEVANT
200	10662869	9492	1917	NOT_RELEVANT
200	10662869	22596	3817	RELEVANT
200	10662869	40348	1860	RELEVANT
200	10662869	44390	64000	RELEVANT
200	10666446	3765	2653	NOT_RELEVANT
200	10681599	36981	789	RELEVANT
200	10688825	56011	1849	RELEVANT
200	10722754	6700	3605	RELEVANT
200	10725062	22404	1227	NOT_RELEVANT
200	10725062	25513	2854	RELEVANT
200	10725062	29529	598	RELEVANT
200	10725062	30130	1655	RELEVANT
200	10725062	50300	47841	RELEVANT
200	10725079	4560	800	NOT_RELEVANT
200	10733511	64658	534	NOT_RELEVANT
200	10744642	3454	128	NOT_RELEVANT
200	10744687	8140	1631	RELEVANT
200	10747894	3101	3209	RELEVANT
200	10747894	8416	650	RELEVANT
200	10784611	6936	4044	NOT_RELEVANT
200	10788530	12896	818	RELEVANT
200	10788530	15889	662	NOT_RELEVANT
200	10788530	33046	1130	NOT_RELEVANT
200	10788530	39137	31960	RELEVANT
200	10809793	4546	1746	RELEVANT
200	10809793	21957	23065	RELEVANT
200	10817766	9178	997	RELEVANT
200	10817766	18623	918	RELEVANT
200	10817766	35444	35197	RELEVANT
200	10817773	13631	1451	NOT_RELEVANT
200	10817776	6196	3608	NOT_RELEVANT
200	10817783	806	1252	NOT_RELEVANT
200	10840030	64135	5710	NOT_RELEVANT
200	10845933	94887	523	NOT_RELEVANT
200	10851248	24075	1768	NOT_RELEVANT
200	10852993	3614	2186	NOT_RELEVANT
200	10859334	59979	511	RELEVANT
200	10859342	89207	500	NOT_RELEVANT
200	10862630	18107	2078	NOT_RELEVANT
200	10869314	38964	1088	NOT_RELEVANT
200	10880535	3332	2101	RELEVANT
200	10887149	24287	2127	NOT_RELEVANT
200	10888598	4599	3234	RELEVANT
200	10888598	46664	408	NOT_RELEVANT
200	10888598	47075	588	NOT_RELEVANT
200	10888598	47666	317	RELEVANT
200	10888701	19360	13347	RELEVANT
200	10888706	2242	718	NOT_RELEVANT
200	10908702	0	334	RELEVANT
200	10908702	441	2055	RELEVANT
200	10913436	7327	2581	NOT_RELEVANT
200	10913438	33536	6108	NOT_RELEVANT
200	10938276	14074	3071	NOT_RELEVANT
200	10942408	34089	136	NOT_RELEVANT
200	10952745	2692	582	NOT_RELEVANT
200	10952745	3277	450	RELEVANT
200	10952745	3730	539	NOT_RELEVANT
200	10952745	7785	1354	RELEVANT
200	10952745	9142	596	NOT_RELEVANT
200	10952745	36919	2357	NOT_RELEVANT
200	10952745	48274	15141	RELEVANT
200	10952759	284	2194	NOT_RELEVANT
200	10956646	6608	1365	NOT_RELEVANT
200	10978392	41721	15449	RELEVANT
200	10986300	45721	818	RELEVANT
200	10986300	47848	16351	RELEVANT
200	10997911	7661	3489	NOT_RELEVANT
200	11006364	50161	2363	NOT_RELEVANT
200	11007769	3826	3562	NOT_RELEVANT
200	11007812	10765	1194	RELEVANT
200	11007826	5786	493	NOT_RELEVANT
200	11007829	9103	2457	NOT_RELEVANT
200	11007841	1171	3877	NOT_RELEVANT
200	11007855	7404	781	RELEVANT
200	11015437	7425	1524	RELEVANT
200	11027688	8164	1294	NOT_RELEVANT
200	11035126	0	364	RELEVANT
200	11035126	2024	503	RELEVANT
200	11035126	3287	139	NOT_RELEVANT
200	11035126	3429	3864	RELEVANT
200	11035126	27742	14730	RELEVANT
200	11035132	3103	1245	RELEVANT
200	11035132	4753	179	RELEVANT
200	11035132	4935	2097	RELEVANT
200	11035132	9006	1384	RELEVANT
200	11035132	13374	1935	NOT_RELEVANT
200	11035132	17033	1854	NOT_RELEVANT
200	11035132	27743	2074	RELEVANT
200	11035132	33808	2819	RELEVANT
200	11035132	36630	733	RELEVANT
200	11035132	37366	2839	RELEVANT
200	11035132	45927	15426	RELEVANT
200	11058588	8339	4996	NOT_RELEVANT
200	11067882	1993	1869	NOT_RELEVANT
200	11067882	5378	936	RELEVANT
200	11067883	6274	1255	NOT_RELEVANT
200	11071644	11707	1927	NOT_RELEVANT
200	11071988	523	1151	NOT_RELEVANT
200	11085795	7407	1663	RELEVANT
200	11085805	617	1416	NOT_RELEVANT
200	11085805	3362	3505	NOT_RELEVANT
200	11085805	9675	2593	NOT_RELEVANT
200	11085805	39037	11285	NOT_RELEVANT
200	11085822	2399	296	NOT_RELEVANT
200	11096152	25883	978	NOT_RELEVANT
200	11103188	45250	1619	RELEVANT
200	11104812	8362	1889	RELEVANT
200	11136877	6891	909	NOT_RELEVANT
200	11136877	57430	24812	RELEVANT
200	11157855	63083	1305	NOT_RELEVANT
200	11158400	59481	19742	RELEVANT
200	11158987	2112	2049	NOT_RELEVANT
200	11159506	5771	910	RELEVANT
200	11159506	29080	987	NOT_RELEVANT
200	11159506	33226	1015	NOT_RELEVANT
200	11159506	51591	433	RELEVANT
200	11159506	64386	542	RELEVANT
200	11208985	4815	915	NOT_RELEVANT
200	11222765	720	2942	NOT_RELEVANT
200	11238002	34152	1596	NOT_RELEVANT
200	11239025	7535	2557	NOT_RELEVANT
200	11239039	21058	545	NOT_RELEVANT
200	11245607	0	334	NOT_RELEVANT
200	11274284	13479	390	NOT_RELEVANT
200	11274285	9328	1994	NOT_RELEVANT
200	11274285	14913	18165	RELEVANT
200	11279168	2141	4029	NOT_RELEVANT
200	11279198	10378	3015	NOT_RELEVANT
200	11279198	31984	2950	RELEVANT
200	11290592	13017	2468	NOT_RELEVANT
200	11290601	2124	4041	NOT_RELEVANT
200	11290601	73353	2123	NOT_RELEVANT
200	11290611	115301	15762	NOT_RELEVANT
200	11313284	79594	541	NOT_RELEVANT
200	11331657	5820	4222	NOT_RELEVANT
200	11334433	65876	33166	RELEVANT
200	11337511	83966	3215	NOT_RELEVANT
200	11342414	14021	1737	NOT_RELEVANT
200	11352926	79517	365	NOT_RELEVANT
200	11369643	9193	1773	NOT_RELEVANT
200	11369713	5101	1447	NOT_RELEVANT
200	11387272	55442	400	NOT_RELEVANT
200	11389017	5735	1565	NOT_RELEVANT
200	11389022	72883	434	RELEVANT
200	11399794	61745	2503	RELEVANT
200	11427626	3389	740	NOT_RELEVANT
200	11427626	9215	1065	NOT_RELEVANT
200	11427626	13382	697	NOT_RELEVANT
200	11427645	15852	2197	RELEVANT
200	11427645	18052	802	NOT_RELEVANT
200	11427645	20584	17853	NOT_RELEVANT
200	11477167	9392	1306	NOT_RELEVANT
200	11493450	56550	1273	NOT_RELEVANT
200	11493479	4290	3362	NOT_RELEVANT
200	11522852	13389	1293	NOT_RELEVANT
200	11522889	7286	1241	NOT_RELEVANT
200	11535526	92371	667	RELEVANT
200	11535630	69548	2503	RELEVANT
200	11560994	6511	816	RELEVANT
200	11560994	84058	259	NOT_RELEVANT
200	11572893	19940	213	NOT_RELEVANT
200	11682363	31017	738	NOT_RELEVANT
200	11707451	18727	2130	NOT_RELEVANT
200	11717187	51824	21726	RELEVANT
200	11717196	57579	25697	NOT_RELEVANT
200	11792875	26724	1344	NOT_RELEVANT
200	11792881	15656	2173	NOT_RELEVANT
200	11792881	35114	1700	NOT_RELEVANT
200	11792881	39512	937	RELEVANT
200	11792884	31105	504	NOT_RELEVANT
200	11792886	23152	1903	NOT_RELEVANT
200	11792893	4511	501	NOT_RELEVANT
200	11792893	5081	6469	NOT_RELEVANT
200	11805148	58028	1578	NOT_RELEVANT
200	11806976	35431	1826	NOT_RELEVANT
200	11806976	85746	2222	NOT_RELEVANT
200	11806976	221143	510	NOT_RELEVANT
200	11806976	240245	332	NOT_RELEVANT
200	11806976	241300	460	NOT_RELEVANT
200	11806976	242197	470	NOT_RELEVANT
200	11809733	8556	1213	NOT_RELEVANT
200	11812831	51194	1109	NOT_RELEVANT
200	11812875	35648	2882	NOT_RELEVANT
200	11861525	72354	19412	NOT_RELEVANT
200	11865096	2907	720	NOT_RELEVANT
200	11865108	639	579	NOT_RELEVANT
200	11886968	2033	716	NOT_RELEVANT
200	11886968	11953	1702	NOT_RELEVANT
200	11891230	8595	1224	RELEVANT
200	11891230	63554	506	RELEVANT
200	11916968	3142	3020	NOT_RELEVANT
200	11917063	13575	17923	NOT_RELEVANT
200	11929755	89148	525	NOT_RELEVANT
200	11929783	5669	1171	NOT_RELEVANT
200	11934958	5177	1898	NOT_RELEVANT
200	11934958	13970	11019	RELEVANT
200	11934968	39730	36600	NOT_RELEVANT
200	11934974	1831	1200	RELEVANT
200	11934974	5686	1130	NOT_RELEVANT
200	11961165	24039	400	NOT_RELEVANT
200	11961165	41540	674	NOT_RELEVANT
200	11961169	4523	1882	NOT_RELEVANT
200	11961173	882	1695	RELEVANT
200	11961173	39767	29198	RELEVANT
200	11961182	500	572	NOT_RELEVANT
200	11994421	55984	17518	NOT_RELEVANT
200	12011369	3086	890	NOT_RELEVANT
200	12011381	31495	1576	NOT_RELEVANT
200	12021166	66143	3512	NOT_RELEVANT
200	12032198	35274	2825	NOT_RELEVANT
200	12039968	6719	666	NOT_RELEVANT
200	12048286	77477	59164	RELEVANT
200	12048287	62543	57077	RELEVANT
200	12048290	2301	1015	NOT_RELEVANT
200	12048290	5555	847	NOT_RELEVANT
200	12048290	6405	710	NOT_RELEVANT
200	12048290	7118	390	RELEVANT
200	12048290	9517	1427	NOT_RELEVANT
200	12048290	35653	3136	NOT_RELEVANT
200	12048290	39039	1364	NOT_RELEVANT
200	12048297	613	1268	NOT_RELEVANT
200	12048297	2090	963	RELEVANT
200	12048299	9423	4446	NOT_RELEVANT
200	12048305	6480	2295	NOT_RELEVANT
200	12060582	38109	836	NOT_RELEVANT
200	12105240	2978	1125	NOT_RELEVANT
200	12105240	9798	563	NOT_RELEVANT
200	12149244	60043	2496	NOT_RELEVANT
200	12154204	27059	822	NOT_RELEVANT
200	12154204	30226	969	NOT_RELEVANT
200	12163557	69335	1467	NOT_RELEVANT
200	12176913	11289	1302	NOT_RELEVANT
200	12198134	17278	798	NOT_RELEVANT
200	12198210	2754	1339	NOT_RELEVANT
200	12208880	1582	2903	NOT_RELEVANT
200	12208880	4614	2526	NOT_RELEVANT
200	12208880	7143	997	NOT_RELEVANT
200	12209028	33391	1310	NOT_RELEVANT
200	12209030	10266	4274	NOT_RELEVANT
200	12209030	32235	2597	RELEVANT
200	12209039	36947	1401	RELEVANT
200	12235207	1343	2213	NOT_RELEVANT
200	12235207	51818	1927	NOT_RELEVANT
200	12235207	63892	2093	RELEVANT
200	12239167	72742	898	RELEVANT
200	12239181	108420	527	RELEVANT
200	12270983	13693	1006	NOT_RELEVANT
200	12270986	36294	7969	RELEVANT
200	12351532	49694	501	NOT_RELEVANT
200	12364626	7457	887	NOT_RELEVANT
200	12364626	16509	2771	NOT_RELEVANT
200	12364626	35106	21171	RELEVANT
200	12364635	7194	1886	NOT_RELEVANT
200	12376330	1957	1499	NOT_RELEVANT
200	12388350	57203	1472	NOT_RELEVANT
200	12393462	6237	1049	NOT_RELEVANT
200	12393462	69419	589	NOT_RELEVANT
200	12393468	111244	535	NOT_RELEVANT
200	12393574	5559	3571	NOT_RELEVANT
200	12393574	11109	1750	NOT_RELEVANT
200	12393574	17066	1530	RELEVANT
200	12393574	41736	573	NOT_RELEVANT
200	12393574	75965	523	RELEVANT
200	12393574	76502	590	NOT_RELEVANT
200	12393585	27271	694	NOT_RELEVANT
200	12393658	26722	1588	NOT_RELEVANT
200	12393658	40424	685	NOT_RELEVANT
200	12393689	33353	712	NOT_RELEVANT
200	12401722	30661	1648	NOT_RELEVANT
200	12403782	17139	3763	NOT_RELEVANT
200	12403836	53606	1791	RELEVANT
200	12417631	66830	3233	RELEVANT
200	12417631	70066	1794	RELEVANT
200	12426233	20058	2548	NOT_RELEVANT
200	12433666	50265	1604	NOT_RELEVANT
200	12454207	4479	4815	RELEVANT
200	12454207	12003	11081	RELEVANT
200	12454230	32401	2864	NOT_RELEVANT
200	12456587	33145	737	NOT_RELEVANT
200	12456587	33885	2206	NOT_RELEVANT
200	12456587	50417	1328	RELEVANT
200	12456587	55717	1234	NOT_RELEVANT
200	12468812	10899	3278	NOT_RELEVANT
200	12468812	18403	34240	RELEVANT
200	12468814	5551	153	NOT_RELEVANT
200	12468814	14711	1861	NOT_RELEVANT
200	12468814	18781	2492	NOT_RELEVANT
200	12468814	22017	2472	RELEVANT
200	12468814	40606	1364	RELEVANT
200	12468814	52033	25852	RELEVANT
200	12475975	5150	4457	NOT_RELEVANT
200	12480958	15611	494	NOT_RELEVANT
200	12509623	3654	2717	NOT_RELEVANT
200	12509624	0	450	RELEVANT
200	12509624	663	1638	RELEVANT
200	12509624	3688	2285	NOT_RELEVANT
200	12509624	8498	1556	RELEVANT
200	12509624	28612	1177	RELEVANT
200	12509624	35626	18815	RELEVANT
200	12509635	701	1170	RELEVANT
200	12509635	6770	3287	NOT_RELEVANT
200	12509635	10807	4576	RELEVANT
200	12529328	28301	3560	NOT_RELEVANT
200	12531798	52139	2064	RELEVANT
200	12543931	6674	1612	NOT_RELEVANT
200	12556525	59023	1228	NOT_RELEVANT
200	12566413	42752	1446	RELEVANT
200	12584273	38753	801	NOT_RELEVANT
200	12586833	68805	2372	NOT_RELEVANT
200	12595574	16885	1193	NOT_RELEVANT
200	12595612	100548	464	RELEVANT
200	12595612	126617	57775	RELEVANT
200	12595613	16165	1893	NOT_RELEVANT
200	12595613	29540	3267	NOT_RELEVANT
200	12595613	38086	3199	NOT_RELEVANT
200	12595613	54952	41779	RELEVANT
200	12595615	3839	339	RELEVANT
200	12595615	6534	570	NOT_RELEVANT
200	12595615	28426	295	RELEVANT
200	12595622	601	1479	NOT_RELEVANT
200	12595622	4081	1949	RELEVANT
200	12595622	22559	1229	NOT_RELEVANT
200	12595622	25153	8561	NOT_RELEVANT
200	12595627	24791	935	NOT_RELEVANT
200	12626795	42612	30400	NOT_RELEVANT
200	12626804	2527	527	RELEVANT
200	12626804	3057	448	RELEVANT
200	12626804	5014	503	NOT_RELEVANT
200	12626804	5520	1696	RELEVANT
200	12626804	7945	4121	RELEVANT
200	12637633	26033	3413	NOT_RELEVANT
200	12642600	3036	1059	RELEVANT
200	12642600	10575	2188	RELEVANT
200	12642600	26615	21496	RELEVANT
200	12642603	24147	1019	NOT_RELEVANT
200	12642603	25169	1646	NOT_RELEVANT
200	12642603	28528	1036	RELEVANT
200	12642603	41947	1374	NOT_RELEVANT
200	12642603	61309	20313	RELEVANT
200	12642605	7983	2317	RELEVANT
200	12642605	78931	32712	NOT_RELEVANT
200	12649404	5914	1667	NOT_RELEVANT
200	12649404	47528	15264	RELEVANT
200	12649405	0	590	NOT_RELEVANT
200	12649405	931	1643	NOT_RELEVANT
200	12649405	3618	155	NOT_RELEVANT
200	12649405	31775	12365	NOT_RELEVANT
200	12668670	13850	4085	NOT_RELEVANT
200	12676938	8359	3526	RELEVANT
200	12686684	13403	1180	RELEVANT
200	12686684	19921	22000	NOT_RELEVANT
200	12692188	23772	4543	RELEVANT
200	12719372	39548	1073	NOT_RELEVANT
200	12719372	41460	923	RELEVANT
200	12730502	987	1510	NOT_RELEVANT
200	12730502	2500	658	NOT_RELEVANT
200	12730502	3161	765	RELEVANT
200	12730502	4406	2057	RELEVANT
200	12730502	19732	3127	RELEVANT
200	12730512	6573	2285	RELEVANT
200	12730519	8821	1104	NOT_RELEVANT
200	12730527	4307	429	RELEVANT
200	12730527	7393	1149	RELEVANT
200	12730527	8545	1238	RELEVANT
200	12730527	37164	15423	NOT_RELEVANT
200	12730535	10155	947	NOT_RELEVANT
200	12730535	33912	15995	RELEVANT
200	12730538	27713	18446	NOT_RELEVANT
200	12730551	0	420	NOT_RELEVANT
200	12730551	539	1954	RELEVANT
200	12730551	47331	13579	RELEVANT
200	12736163	1256	3410	NOT_RELEVANT
200	12754305	46002	2098	NOT_RELEVANT
200	12759229	5237	2196	NOT_RELEVANT
200	12771439	9652	260	NOT_RELEVANT
200	12771442	8891	4208	NOT_RELEVANT
200	12771445	2913	508	NOT_RELEVANT
200	12777642	1809	1546	NOT_RELEVANT
200	12777642	4421	802	NOT_RELEVANT
200	12777642	5226	686	NOT_RELEVANT
200	12777642	5926	214	NOT_RELEVANT
200	12777642	41413	2778	RELEVANT
200	12777644	7590	784	NOT_RELEVANT
200	12783936	2015	4079	NOT_RELEVANT
200	12810926	1187	2018	NOT_RELEVANT
200	12810926	4710	110	NOT_RELEVANT
200	12810926	4823	3232	NOT_RELEVANT
200	12810926	31776	1692	NOT_RELEVANT
200	12810926	46274	8397	NOT_RELEVANT
200	12816875	8690	778	NOT_RELEVANT
200	12816875	28399	806	RELEVANT
200	12816875	65235	654	RELEVANT
200	12816875	69563	625	RELEVANT
200	12826720	4446	935	NOT_RELEVANT
200	12832713	0	185	NOT_RELEVANT
200	12832713	24965	1524	NOT_RELEVANT
200	12832713	27700	2853	RELEVANT
200	12832713	42134	19790	RELEVANT
200	12867580	10803	1442	NOT_RELEVANT
200	12867580	31351	900	NOT_RELEVANT
200	12867581	0	489	RELEVANT
200	12867581	1206	320	NOT_RELEVANT
200	12867581	6651	1594	RELEVANT
200	12867581	28592	895	NOT_RELEVANT
200	12867581	34172	14898	RELEVANT
200	12867584	26206	1864	NOT_RELEVANT
200	12869674	978	515	NOT_RELEVANT
200	12869681	1548	2090	NOT_RELEVANT
200	12893767	6416	4184	NOT_RELEVANT
200	12902549	25099	1107	NOT_RELEVANT
200	12917256	1104	3462	NOT_RELEVANT
200	12917256	4580	92	NOT_RELEVANT
200	12917256	6805	1603	NOT_RELEVANT
200	12917256	8411	2099	NOT_RELEVANT
200	12917256	40118	2532	RELEVANT
200	12917264	5198	2599	NOT_RELEVANT
200	12917264	7800	1921	NOT_RELEVANT
200	12917320	5024	1579	NOT_RELEVANT
200	12917320	6606	1308	NOT_RELEVANT
200	12923269	490	551	RELEVANT
200	12923269	7741	3303	RELEVANT
200	12923270	4596	5025	RELEVANT
200	12941768	62837	21425	NOT_RELEVANT
200	12949127	5077	3648	NOT_RELEVANT
200	12952861	48285	2590	NOT_RELEVANT
200	12953096	7533	601	NOT_RELEVANT
200	12953096	27735	2869	NOT_RELEVANT
200	12959991	5999	1229	NOT_RELEVANT
200	12969979	48109	2667	NOT_RELEVANT
200	13130152	2652	687	NOT_RELEVANT
200	13130152	37080	12580	RELEVANT
200	14504101	70273	1658	RELEVANT
200	14512299	5831	1793	RELEVANT
200	14523129	44176	5210	NOT_RELEVANT
200	14565953	2862	3960	NOT_RELEVANT
200	14578448	3802	964	NOT_RELEVANT
200	14592838	9336	2495	NOT_RELEVANT
200	14592838	73807	260	RELEVANT
200	14623949	3378	761	NOT_RELEVANT
200	14623949	44502	18664	NOT_RELEVANT
200	14623950	2471	1241	RELEVANT
200	14623950	3715	1428	RELEVANT
200	14623950	5848	1903	RELEVANT
200	14623950	7754	830	RELEVANT
200	14623950	11223	2970	NOT_RELEVANT
200	14623950	41995	1652	NOT_RELEVANT
200	14623950	48819	1432	RELEVANT
200	14623950	55151	2983	RELEVANT
200	14623950	60111	2007	RELEVANT
200	14623950	62121	522	RELEVANT
200	14627812	70618	381	NOT_RELEVANT
200	14630796	3571	3659	NOT_RELEVANT
200	14645206	0	801	NOT_RELEVANT
200	14645206	1535	2918	RELEVANT
200	14645206	6350	1356	NOT_RELEVANT
200	14645206	29869	2192	NOT_RELEVANT
200	14645206	43714	896	NOT_RELEVANT
200	14645206	53460	644	NOT_RELEVANT
200	14676184	4009	3649	NOT_RELEVANT
200	14681560	0	366	NOT_RELEVANT
200	14688069	6875	2293	RELEVANT
200	14688072	10258	2138	RELEVANT
